averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
11.0,-65.858146402453,-88.076633898621,31.641853597547
11.0,-65.858146402453,-88.076633898621,31.641853597547
11.0,-65.858146402453,-88.076633898621,31.641853597547
11.0,-65.858146402453,-88.076633898621,31.641853597547
11.0,-65.858146402453,-88.076633898621,31.641853597547
11.0,-61.892863769622,-84.11135126579,35.607136230378
11.0,-65.846293065687,-88.064780561855,31.653706934313
11.0,-65.846293065687,-88.064780561855,31.653706934313
11.0,-65.846293065687,-88.064780561855,31.653706934313
11.0,-65.846293065687,-88.064780561855,31.653706934313
11.0,-61.740505299723,-83.958992795891,35.759494700277
11.0,-65.835540954472,-88.05402845064,31.664459045528
11.0,-65.835540954472,-88.05402845064,31.664459045528
11.0,-65.835540954472,-88.05402845064,31.664459045528
11.0,-65.835540954472,-88.05402845064,31.664459045528
11.0,-63.217432215199,-85.435919711367,34.282567784801
11.0,-65.825894733501,-88.044382229669,31.674105266499
11.0,-65.825894733501,-88.044382229669,31.674105266499
11.0,-65.825894733501,-88.044382229669,31.674105266499
11.0,-65.825894733501,-88.044382229669,31.674105266499
11.0,-62.636194966485,-84.854682462653,34.863805033515
11.0,-65.817358600713,-88.035846096881,31.682641399287
11.0,-65.817358600713,-88.035846096881,31.682641399287
11.0,-65.817358600713,-88.035846096881,31.682641399287
11.0,-65.817358600713,-88.035846096881,31.682641399287
11.0,-61.720819489358,-83.939306985527,35.779180510642
11.0,-65.80993628125,-88.028423777418,31.69006371875
11.0,-65.80993628125,-88.028423777418,31.69006371875
11.0,-65.80993628125,-88.028423777418,31.69006371875
11.0,-65.80993628125,-88.028423777418,31.69006371875
11.0,-62.699071990087,-84.917559486255,34.800928009913
11.0,-65.803631022068,-88.022118518236,31.696368977932
11.0,-65.803631022068,-88.022118518236,31.696368977932
11.0,-65.803631022068,-88.022118518236,31.696368977932
11.0,-65.803631022068,-88.022118518236,31.696368977932
11.0,-68.125564349829,-90.344051845997,29.374435650171
11.0,-65.79844558723,-88.016933083398,31.70155441277
11.0,-65.79844558723,-88.016933083398,31.70155441277
11.0,-65.79844558723,-88.016933083398,31.70155441277
11.0,-65.79844558723,-88.016933083398,31.70155441277
11.0,-65.441883734349,-87.660371230518,32.058116265651
11.0,-65.794382253873,-88.012869750041,31.705617746127
11.0,-65.794382253873,-88.012869750041,31.705617746127
11.0,-65.794382253873,-88.012869750041,31.705617746127
11.0,-65.794382253873,-88.012869750041,31.705617746127
11.0,-60.397767241055,-82.616254737223,37.102232758945
11.0,-65.791442808889,-88.009930305057,31.708557191111
11.0,-65.791442808889,-88.009930305057,31.708557191111
11.0,-65.791442808889,-88.009930305057,31.708557191111
11.0,-65.791442808889,-88.009930305057,31.708557191111
6.0,-76.758576984613,-98.977064480781,20.741423015387
6.0,-76.758576984613,-98.977064480781,20.741423015387
6.0,-76.758576984613,-98.977064480781,20.741423015387
6.0,-76.758576984613,-98.977064480781,20.741423015387
6.0,-76.758576984613,-98.977064480781,20.741423015387
6.0,-71.156170250344,-93.374657746512,26.343829749656
6.0,-76.757888703701,-98.97637619987,20.742111296299
6.0,-76.757888703701,-98.97637619987,20.742111296299
6.0,-76.757888703701,-98.97637619987,20.742111296299
6.0,-76.757888703701,-98.97637619987,20.742111296299
6.0,-81.588462218738,-103.80694971491,15.911537781262
